target_family,noise_mode,metric,display_name,semantic_group,direction,accuracy_metric,source,weight,noise_share,h2_ceiling,communality,psi,dominant_factor,max_loading,loading_factor_1,loading_factor_2,loading_factor_3,loading_factor_4,loading_factor_5
task_proxy_irt,fixed,irt_task_group/arc_challenge_5shot/selected_proxy,arc_challenge_5shot,arc,maximize,irt_task_group/arc_challenge_5shot/accuracy_reference,task_proxy_group,1.0,0.39426816402096787,0.6057318359790321,0.5074182317005573,0.39426816402096787,1,0.6235441559748086,0.6235441559748086,0.07378703805998747,0.06201320684172029,0.08969928792076896,0.0
task_proxy_irt,fixed,irt_task_group/arc_easy/selected_proxy,arc_easy,arc,maximize,irt_task_group/arc_easy/accuracy_reference,task_proxy_group,1.0,0.19335069311655306,0.8066493068834469,0.821982832894558,0.19335069311655306,1,0.9208675119260566,0.9208675119260566,0.0,0.0,0.21150045912509774,0.007415218160922486
task_proxy_irt,fixed,irt_task_group/arc_easy_5shot/selected_proxy,arc_easy_5shot,arc,maximize,irt_task_group/arc_easy_5shot/accuracy_reference,task_proxy_group,1.0,0.10942399360143641,0.8905760063985636,0.8927180966302226,0.10942399360143641,1,0.9330288078966932,0.9330288078966932,0.0381104506980433,0.0,0.1873965102457465,0.05856894495010552
task_proxy_irt,fixed,irt_task_group/boolq_10shot/selected_proxy,boolq_10shot,commonsense_qa,maximize,irt_task_group/boolq_10shot/accuracy_reference,task_proxy_group,1.0,0.6184765388849065,0.3815234611150935,0.0017586748537777414,0.6184765388849065,3,0.03300932316513728,0.0,0.0,0.03300932316513728,0.0,0.0
task_proxy_irt,fixed,irt_task_group/gsm8k/selected_proxy,gsm8k,gsm8k,maximize,irt_task_group/gsm8k/accuracy_reference,task_proxy_group,1.0,0.04590118084395988,0.9540988191560401,0.9539170315485305,0.04590118084395988,4,0.9265125259779373,0.0,0.0,0.0,0.9265125259779373,0.3028672463600446
task_proxy_irt,fixed,irt_task_group/hellaswag_0shot/selected_proxy,hellaswag_0shot,hellaswag_swag,maximize,irt_task_group/hellaswag_0shot/accuracy_reference,task_proxy_group,1.0,0.03792450105317495,0.9620754989468251,0.9611360147018331,0.03792450105317495,3,0.794558350067936,0.2247170250279653,0.4416209114199508,0.794558350067936,0.245962096360111,0.023553282682002283
task_proxy_irt,fixed,irt_task_group/hellaswag_5shot/selected_proxy,hellaswag_5shot,hellaswag_swag,maximize,irt_task_group/hellaswag_5shot/accuracy_reference,task_proxy_group,1.0,0.03125165970162495,0.9687483402983751,0.9685407447595101,0.03125165970162495,3,0.7839000730022899,0.1849057544388674,0.524745316581395,0.7839000730022899,0.17856321781100382,0.0788513645333772
task_proxy_irt,fixed,irt_task_group/humaneval/selected_proxy,humaneval,humaneval,maximize,irt_task_group/humaneval/accuracy_reference,task_proxy_group,1.0,0.015307271044116706,0.9846927289558833,0.9839311843355554,0.015307271044116706,5,0.9681425645070376,0.0,0.0,0.0,0.0,0.9681425645070376
task_proxy_irt,fixed,irt_task_group/lambada_0shot/selected_proxy,lambada_0shot,other_task,maximize,irt_task_group/lambada_0shot/accuracy_reference,task_proxy_group,1.0,0.05787785431222543,0.9421221456877745,0.9349538667529541,0.05787785431222543,2,0.90763775362103,0.0,0.90763775362103,0.0,0.09007069199689033,0.000354508766364164
task_proxy_irt,fixed,irt_task_group/medmcqa_5shot/selected_proxy,medmcqa_5shot,commonsense_qa,maximize,irt_task_group/medmcqa_5shot/accuracy_reference,task_proxy_group,1.0,0.5052002327104234,0.49479976728957664,0.01862756719117827,0.5052002327104234,2,0.09723641010122608,0.0,0.09723641010122608,0.011568092756531447,0.000732083676898575,0.0
task_proxy_irt,fixed,irt_task_group/mmlu_standard/selected_proxy,mmlu_standard,mmlu,maximize,irt_task_group/mmlu_standard/accuracy_reference,task_proxy_group,1.0,0.9342735749663832,0.06572642503361681,0.03387017507151288,0.9342735749663832,3,0.1611880527899837,0.0,0.08158907613926648,0.1611880527899837,0.0,0.010724098324696417
task_proxy_irt,fixed,irt_task_group/openbookqa_0shot/selected_proxy,openbookqa_0shot,commonsense_qa,maximize,irt_task_group/openbookqa_0shot/accuracy_reference,task_proxy_group,1.0,1.4297226096194016,0.0,0.18163293279766807,0.999,1,0.36308093779248557,0.36308093779248557,0.1484209444273035,0.20929079702856043,0.15512713314258914,0.0
task_proxy_irt,fixed,irt_task_group/piqa/selected_proxy,piqa,commonsense_qa,maximize,irt_task_group/piqa/accuracy_reference,task_proxy_group,1.0,0.2807754462914743,0.7192245537085258,0.6239564483547623,0.2807754462914743,3,0.6453203730227443,0.20291207996686775,0.08246255060890181,0.6453203730227443,0.038334178717378,0.0
task_proxy_irt,fixed,irt_task_group/piqa_5shot/selected_proxy,piqa_5shot,commonsense_qa,maximize,irt_task_group/piqa_5shot/accuracy_reference,task_proxy_group,1.0,0.20337214649534685,0.7966278535046531,0.694631839513953,0.20337214649534685,3,0.6369904956223849,0.23565089124154032,0.033861560660253615,0.6369904956223849,0.0,0.013528913189815726
task_proxy_irt,fixed,irt_task_group/swag_0shot/selected_proxy,swag_0shot,hellaswag_swag,maximize,irt_task_group/swag_0shot/accuracy_reference,task_proxy_group,1.0,0.010061987771568642,0.9899380122284314,0.9896390713224664,0.010061987771568642,2,0.9661985240170701,0.15892656820558673,0.9661985240170701,0.018870068388719814,0.04395426516961689,0.0
task_proxy_irt,fixed,irt_task_group/winogrande_5shot/selected_proxy,winogrande_5shot,commonsense_qa,maximize,irt_task_group/winogrande_5shot/accuracy_reference,task_proxy_group,1.0,0.4371775466620107,0.5628224533379893,0.002057716930529562,0.4371775466620107,3,0.02562121420961002,0.0,0.015478872182296514,0.02562121420961002,0.002323887132897123,0.0
task_proxy_irt,fixed,irt_task_group/wsc273_0shot/selected_proxy,wsc273_0shot,commonsense_qa,maximize,irt_task_group/wsc273_0shot/accuracy_reference,task_proxy_group,1.0,0.5851075255057399,0.41489247449426014,0.17077788340424338,0.5851075255057399,2,0.2997385826379379,0.12962107317647822,0.2997385826379379,0.11771083068082708,0.0013871987748650147,0.0
