request_kind,case_id,rank,run_count,max_error_min,max_error_max,max_error_mean,max_error_std,max_error_range
representative,code-humaneval-01,0,5,0.02160076622955065,0.03102540717292579,0.028539850223549323,0.0039032096110153173,0.00942464094337514
representative,code-humaneval-02,1,5,0.001092643399395854,0.002447958594140709,0.0020811110438842427,0.0005902034536117236,0.001355315194744855
representative,code-humaneval-03,2,5,0.0063568885154738075,0.012661731980787794,0.008346990657069574,0.0028826813948315427,0.006304843465313986
representative,code-humaneval-04,3,5,0.02505349631360615,0.0354114132687573,0.031268246486696835,0.005673264765101509,0.010357916955151147
representative,code-humaneval-05,4,5,0.006279969088592935,0.011816177037841324,0.009448478824792933,0.0022671642626515115,0.0055362079492483895
representative,code-humaneval-06,5,5,0.014210401643973844,0.01787920042202268,0.01675334729779364,0.001476315164493834,0.0036687987780488346
representative,instruction-ifeval-01,6,5,0.004744581093648961,0.0059506226974621115,0.005226997735174222,0.000660576191698171,0.0012060416038131502
representative,instruction-ifeval-02,7,5,0.0014161519421246327,0.005967720683808686,0.0030843963320107775,0.0018696468253278943,0.004551568741684053
representative,instruction-ifeval-03,0,5,0.002791812724652065,0.004114923743542026,0.0033210571322080497,0.0007246977511296756,0.0013231110188899609
representative,instruction-ifeval-04,1,5,0.025691745619508044,0.045743143921255974,0.02970202527985763,0.008967257929326442,0.02005139830174793
representative,instruction-ifeval-05,2,5,0.005938953731141117,0.006399881497316573,0.006092823100936484,0.00017732944931026458,0.0004609277661754563
representative,instruction-ifeval-06,3,5,0.010571915377920446,0.010571915377920446,0.010571915377920446,0.0,0.0
representative,instruction-longbench-01,0,5,0.024034607041430123,0.0574342764647251,0.04133254337471874,0.015551560353080668,0.033399669423294975
representative,knowledge-longbench-01,0,5,0.01836137330635601,0.03974757272642582,0.030214433315172828,0.009127727399134825,0.021386199420069807
representative,knowledge-longbench-02,1,5,0.02227564177377217,0.0670223315392619,0.0531533388986785,0.01834849981690883,0.04474668976548973
representative,knowledge-mmlu-01,4,5,0.007252418203827327,0.007867938716648093,0.007691668526457645,0.00025438283790030013,0.0006155205128207664
representative,knowledge-mmlu-02,5,5,0.0028013103803506967,0.004751099186371843,0.003928604999804764,0.0007259145338683466,0.0019497888060211466
representative,knowledge-mmlu-03,6,5,0.004302609112683098,0.036422688343704546,0.02353767752167499,0.011763484442676228,0.03212007923102145
representative,knowledge-mmlu-04,7,5,0.0008662683754899758,0.001218945023893303,0.0010073390348513066,0.00019316895583582064,0.00035267664840332724
representative,knowledge-mmlu-05,0,5,0.0024282383327192125,0.006964863577606839,0.005061041116924962,0.0019531274824153865,0.0045366252448876265
representative,knowledge-mmlu-06,1,5,0.0007718324725749515,0.0010757592643252378,0.0009241977897751052,0.00013268327855347104,0.00030392679175028636
representative,long-longbench-01,2,5,0.010978202316109575,0.022581036823934253,0.015566147814819459,0.0047806720767361605,0.011602834507824678
representative,long-longbench-02,3,5,0.005139420428311753,0.012453142237213222,0.009256933230405356,0.002894971583563289,0.007313721808901469
representative,long-longbench-03,4,5,0.008427216816155991,0.023731125196399416,0.01252347410730117,0.0065228800450807855,0.015303908380243425
representative,long-longbench-04,5,5,0.02362054353689441,0.053179897078425076,0.03973864800860897,0.014433349221605656,0.029559353541530664
representative,long-longbench-05,6,5,0.021697298043431554,0.04994224385451673,0.03583508988645166,0.012740807970726808,0.02824494581108518
representative,long-longbench-06,1,5,0.010991632047173183,0.03520657276073938,0.024204621756131455,0.008639206832213918,0.024214940713566196
representative,long-longbench-07,2,5,0.006062467154019424,0.012022587801562734,0.010114326358580296,0.0023720452455645697,0.00596012064754331
representative,long-longbench-08,3,5,0.005204314284817491,0.036731302079456074,0.017531670889607037,0.012414357704513813,0.031526987794638583
representative,long-longbench-09,4,5,0.0181071955085631,0.03653766398019681,0.029422013409150027,0.009272111042246982,0.01843046847163371
representative,long-longbench-10,5,5,0.00820748835721774,0.016732241407771076,0.012038623020844241,0.003956320514143925,0.008524753050553335
representative,long-longbench-11,6,5,0.0050790248523944065,0.02354448486735372,0.012269128564190782,0.00703586887827249,0.018465460014959315
representative,math-gsm8k-01,2,5,0.012973175735163989,0.017240108520040154,0.015434171935828734,0.0022488504548581877,0.004266932784876165
representative,math-gsm8k-02,3,5,0.009355437798490324,0.012513099277331158,0.011219200941896237,0.00170253895049235,0.003157661478840834
representative,math-gsm8k-03,0,5,0.008847697418993772,0.009659275130289219,0.009173894522871451,0.00044309272879954666,0.000811577711295447
representative,math-gsm8k-04,1,5,0.002960642449496176,0.010231094924770923,0.008239564685753653,0.003056303522372665,0.007270452475274747
representative,math-gsm8k-05,2,5,0.0023229435872494236,0.004806977895858405,0.003935266724608708,0.0009722141127030897,0.0024840343086089817
representative,math-gsm8k-06,3,5,0.00425722654062613,0.0190503657878483,0.01069849525214873,0.007644133227667284,0.01479313924722217
representative,specialized-longbench-01,7,5,0.0032719667414869216,0.02475202096796847,0.013707222014502873,0.008589347128317965,0.021480054226481547
representative,specialized-longbench-02,7,5,0.008858437350605652,0.04137508115622532,0.024260969182673526,0.011912196799618482,0.032516643805619666
representative,specialized-mmmlu-01,4,5,0.0005392795529679528,0.0038066725894425057,0.0018414869979792915,0.0014638644744626435,0.003267393036474553
representative,specialized-mmmlu-02,5,5,0.0016781008663479258,0.005517098193101755,0.0035232235027525703,0.001812297534574721,0.003838997326753829
representative,specialized-mmmlu-03,6,5,0.009544577953750744,0.014324053055553398,0.011336274989613027,0.0022022448753513655,0.004779475101802655
representative,specialized-mmmlu-04,7,5,0.003979147641652525,0.009009606232507794,0.007213446557393577,0.0021393771780137973,0.005030458590855269
representative,specialized-mmmlu-05,0,5,0.013341418629536472,0.028655126754937865,0.020996443173185185,0.007342358284519207,0.015313708125401393
representative,specialized-mmmlu-06,1,5,0.008193125277880187,0.024787572843648076,0.019910617723170466,0.006678303390637639,0.01659444756576789
representative,structured-structeval-01,4,5,0.021934417292299002,0.03125044231351287,0.02760951474595643,0.004900596504660709,0.00931602502121387
representative,structured-structeval-02,5,5,0.019949102137609198,0.03605192791282996,0.028980737946434243,0.006587741378050891,0.016102825775220764
