run,job_id,request_kind,case_id,backend_rank,golden_rank,token_id,actual_logprob,golden_logprob,actual_probability,golden_probability,absolute_probability_error
1,7ff3af48,representative,code-humaneval-01,0,0,1432,-0.38699862360954285,-0.4337617754936218,0.6790920296217826,0.6480666224488568,0.03102540717292579
1,7ff3af48,representative,code-humaneval-01,0,1,720,-2.8235220909118652,-2.7023165225982666,0.059396374435729614,0.06705000983329779,0.007653635397568172
1,7ff3af48,representative,code-humaneval-01,0,2,220,-3.3791861534118652,-3.2306368350982666,0.03407517541813157,0.03953231520451681,0.005457139786385241
1,7ff3af48,representative,code-humaneval-01,0,3,1084,-3.6057486534118652,-3.3517305850982666,0.02716709845686893,0.035023690147662816,0.007856591690793887
1,7ff3af48,representative,code-humaneval-01,0,4,702,-3.6916861534118652,-3.6212618350982666,0.024929930895003474,0.026748902484510007,0.001818971589506533
1,7ff3af48,representative,code-humaneval-01,0,5,2355,-4.332311153411865,-4.0196990966796875,0.01313715040746308,0.017958367859100065,0.004821217451636984
1,7ff3af48,representative,code-humaneval-01,0,6,4815,-4.629186153411865,-4.5509490966796875,0.009762701211147128,0.010557179843140009,0.0007944786319928811
1,7ff3af48,representative,code-humaneval-01,0,7,1038,-4.777623653411865,-4.7931365966796875,0.008415974495981152,0.008286425402950739,0.00012954909303041287
1,7ff3af48,representative,code-humaneval-01,0,8,5996,-5.121373653411865,-4.8243865966796875,0.005967819546335703,0.008031478895548888,0.002063659349213185
1,7ff3af48,representative,code-humaneval-01,0,9,1875,-4.840123653411865,-4.8556365966796875,0.007906076377829752,0.007784376267561344,0.00012170011026840788
1,7ff3af48,representative,code-humaneval-01,0,10,7275,-5.011998653411865,-4.9806365966796875,0.006657583797576594,0.006869687944675919,0.0002121041470993252
1,7ff3af48,representative,code-humaneval-01,0,11,4343,-5.074498653411865,-5.2150115966796875,0.0062542211862188,0.005434370455461999,0.000819850730756801
1,7ff3af48,representative,code-humaneval-01,0,12,3270,-5.621373653411865,-5.6056365966796875,0.0036196655264849427,0.003677078982746919,5.74134562619762e-05
1,7ff3af48,representative,code-humaneval-01,0,13,674,-6.027623653411865,-5.6681365966796875,0.0024112170633516206,0.003454296029389343,0.0010430789660377223
