run,step,iris_job_index,iris_attempt,consumed_tokens,cumulative_consumed_tokens,consumed_sequences,informative_group_fraction,step_seconds,cumulative_cycle_seconds,nominal_cycle_gpu_hours,age_mean,age_p90,age_at_least_four_fraction,stale_rejected,rejected_count,rejected_rate,mismatch_log_ratio_abs_mean,tis_capped_fraction,correction_abs_mean,policy_entropy,response_bytes_mean,length_stop_fraction
tis,1,,,529763,529763,512,0.625,1013.1765796139953,1013.1765796139953,11.257517551266615,0,0,0,0,0,0,0.038195834959623344,0.1018900063354522,,0.7550391964614391,4870682.423475259,0.005859375
tis,2,,,1674545.0,2204308.0,512,0.34375,245.70133677101694,1258.8779163850122,13.987532404277914,1,1,0,0,0,0,0.03780296084132517,0.10093210870400071,,0.8524433113634586,8547195.62890625,0.623046875
tis,3,,,1380345.0,3584653.0,512,0.3671875,226.90244402899407,1485.7803604140063,16.508670671266735,1.8561953714469934,2,0,0,0,0,0.039077222052857,0.10485940822400153,,0.8418195527046919,8165846.720703125,0.515625
tis,4,,,1172887.0,4757540.0,512,0.515625,294.86285632598447,1780.6432167399907,19.78492463044434,1.8269185352041586,2,0,0,0,0,0.038889466696074036,0.10439266334287822,,0.8154555503278971,8217592.138671875,0.33203125
tis,5,,,1169260.0,5926800.0,512,0.390625,678.0465372980107,2458.6897540380014,27.318775044866683,1.7814677659374305,2,0,0,0,0,0.03778744543947346,0.10193035146221519,,0.7811420056968927,9505879.111328125,0.390625
tis,6,,,937018,6863818.0,512,0.40625,242.0107790780021,2700.7005331160035,30.00778370128893,1.9262426122016867,2,0,0,0,0,0.04036863991950733,0.10854319157078862,,0.7819855008274317,2534968.2133255405,0.248046875
tis,7,,,1388820.0,8252638.0,512,0.3359375,224.3689521420165,2925.06948525802,32.50077205842244,1.8862645987240967,2,0,0,0,0,0.03970968068256255,0.10592918656766415,,0.8182685133069754,7791622.025390625,0.494140625
tis,8,,,1228994.0,9481632.0,512,0.375,383.64005857502343,3308.7095438330434,36.76343937592271,1.8099274691332912,2,0,0,0,0,0.038712523512334486,0.10440955311059952,,0.8115554079413414,8686572.59765625,0.373046875
tis,9,,,893254,10374886.0,512,0.2890625,266.5049800800043,3575.2145239130477,39.724605821256084,1.9315704155816822,2,0,0,0,0,0.038532459371199035,0.10409781290218234,,0.7866813037544489,8459631.04296875,0.244140625
sc32,1,,,525750,525750,512,0.6796875,1012.42144734459,1012.42144734459,11.249127192717667,0,0,0,0,0,0,0.038032849191070535,0.10165190021507442,0.014039625151781365,0.7524255234748125,4834882.647871116,0.017578125
sc32,2,,,1637643.0,2163393.0,512,0.34375,359.43048550607637,1371.8519328506663,15.242799253896292,1,1,0,0,0,0,0.03779163026134587,0.10126208467409015,0.0067655165257747285,0.8428026884794235,8553949.666015625,0.607421875
sc32,3,,,1278306.0,3441699.0,512,0.40625,343.55839892011136,1715.4103317707777,19.060114797453085,1.9366622702232485,2,0,0,0,0,0.03909509291999932,0.10522575117647648,0.008549786594812758,0.8371289912611246,8237945.65234375,0.4453125
sc32,4,,,1246633.0,4688332.0,512,0.421875,332.21170097915456,2047.6220327499323,22.751355919443693,1.8728912197896253,2,0,0,0,0,0.03927995371256576,0.10439582448452711,0.0082515769317979,0.8327606469392776,8404856.7109375,0.376953125
sc32,5,,,1034040.0,5722372.0,512,0.515625,832.0615281839855,2879.6835609339178,31.996484010376864,1.9361011179451473,2,0,0,0,0,0.037761061376770495,0.10213881707750261,0.01073741952131968,0.775412131100893,9653256.076171875,0.287109375
sc32,6,,,1163451.0,6885823.0,512,0.3984375,271.42045406484976,3151.1040149987675,35.012266833319636,1.930880630125377,2,0,0,0,0,0.03900892717667175,0.10475347191095352,0.0081083144468721,0.7880549505352974,2642045.272939801,0.357421875
sc32,7,,,1461023.0,8346846.0,512,0.34375,365.50604995992035,3516.610064958688,39.07344516620764,1.8484342820065118,2,0,0,0,0,0.0391098978968565,0.10571354744024575,0.007006075768003939,0.827952679246664,8193937.33984375,0.505859375
sc32,8,,,1043131.0,9389977.0,512,0.328125,376.5332868359983,3893.143351794686,43.25714835327429,1.9400487570592764,2,0,0,0,0,0.03912163569358621,0.10671794740483165,0.006606511313293595,0.8029019460082054,8831342.640625,0.298828125
sc32,9,,,1134011.0,10523988.0,512,0.328125,249.74029415193945,4142.883645946626,46.032040510518065,1.9332069971102572,2,0,0,0,0,0.03843584713170081,0.10306695220060647,0.00641265393642243,0.8028273731470108,8932483.353515625,0.328125
