run,step,eval_dump_written_utc,elapsed_from_first_gpu_task_hours,reserved_gpu_hours_to_eval,full_run_reserved_gpu_hours,task_attempts
r24,0,2026-09-20T00:34:11+00:00,0.10050333333333333,1.6080533333333333,25.260897777777778,3
r24,10,2026-09-20T01:01:16+00:00,0.5518922222222222,8.830275555555556,25.260897777777778,3
r24,20,2026-09-20T01:20:26+00:00,0.8713366666666666,13.941386666666666,25.260897777777778,3
r24,30,2026-09-20T01:39:48+00:00,1.1941144444444445,19.10583111111111,25.260897777777778,3
r24,40,2026-09-20T01:58:54+00:00,1.5124477777777778,24.199164444444445,25.260897777777778,3
r25,0,2026-09-20T00:34:37+00:00,0.09997222222222223,1.5995555555555556,24.537575555555556,3
r25,10,2026-09-20T01:01:16+00:00,0.5441388888888888,8.706222222222221,24.537575555555556,3
r25,20,2026-09-20T01:19:00+00:00,0.8396944444444444,13.43511111111111,24.537575555555556,3
r25,30,2026-09-20T01:37:50+00:00,1.1535833333333334,18.457333333333334,24.537575555555556,3
r25,40,2026-09-20T01:57:03+00:00,1.473861111111111,23.581777777777777,24.537575555555556,3
r27,0,2026-09-20T00:51:30+00:00,0.10194555555555555,1.6311288888888889,25.64226888888889,3
r27,10,2026-09-20T01:19:47+00:00,0.5733344444444445,9.173351111111112,25.64226888888889,3
r27,20,2026-09-20T01:38:21+00:00,0.8827788888888889,14.124462222222222,25.64226888888889,3
r27,30,2026-09-20T01:58:12+00:00,1.2136122222222223,19.417795555555557,25.64226888888889,3
r27,40,2026-09-20T02:18:22+00:00,1.5497233333333333,24.795573333333333,25.64226888888889,3
r28,0,2026-09-20T00:51:29+00:00,0.098705,1.57928,25.50374,3
r28,10,2026-09-20T01:19:43+00:00,0.5692605555555555,9.108168888888889,25.50374,3
r28,20,2026-09-20T01:38:44+00:00,0.886205,14.17928,25.50374,3
r28,30,2026-09-20T01:57:30+00:00,1.1989827777777777,19.183724444444444,25.50374,3
r28,40,2026-09-20T02:17:05+00:00,1.5253716666666666,24.405946666666665,25.50374,3
r30,0,2026-09-20T01:52:51+00:00,0.1073236111111111,1.658488888888889,26.096704444444445,3
r30,10,2026-09-20T02:20:44+00:00,0.5720458333333334,9.094044444444444,26.096704444444445,3
