stage,start_id,eta,beta,a_broad_text,a_tech_code,a_reasoning,tau_broad_text,tau_tech_code,tau_reasoning,delta,reg,lam,cv_rmse,cv_regret_at_1,cv_foldmean_regret_at_1,lower_tail_optimism,cv_depopt_best8,cv_rawopt_nearest_tv,objective,oof_spearman,oof_pearson
coarse,6,5.627794351309641,0.2629059619755788,0.6462737477673589,0.24863794840719378,0.2076641777781618,3.193090495213877,6.2042610686315145,5.136810831800622,1.0,0.0,0.0,0.014413845099018805,0.021603047847747803,0.015648913383483863,0.005803616170520168,,,0.018098098853453082,0.6672360894666943,0.6355032319595992
coarse,15,4.0,0.2629059619755788,0.6462737477673589,0.1657586322714625,0.2076641777781618,3.193090495213877,6.2042610686315145,5.136810831800622,4.0,0.0,0.0,0.014600966693599069,0.021603047847747803,0.017227065563201926,0.005893996078507413,,,0.018409318011012872,0.6504150436000053,0.6215639006659803
coarse,3,5.627794351309641,0.1829059619755788,0.6462737477673589,0.1657586322714625,0.2076641777781618,2.793090495213877,6.2042610686315145,5.136810831800622,1.0,0.0,0.0,0.015217532967579266,0.021603047847747803,0.017227065563201926,0.005803389977480428,,,0.018980581234479578,0.5989849456465829,0.5781947645494089
coarse,14,4.0,0.9,0.6462737477673589,0.1657586322714625,0.2076641777781618,3.193090495213877,6.2042610686315145,5.136810831800622,1.0,0.0,0.0,0.015101250264878475,0.021603047847747803,0.021426808834075904,0.0057221831515364046,,,0.019033682282350473,0.6118229954518147,0.5861020609548115
coarse,11,4.0,0.2629059619755788,0.6462737477673589,0.1657586322714625,0.2076641777781618,3.193090495213877,6.2042610686315145,5.136810831800622,1.0,0.0,0.0,0.015132163090504044,0.021603047847747803,0.023836612701416036,0.005532913131522146,,,0.01909045029133592,0.6095783265404792,0.584741476061673
coarse,10,1.0,0.2629059619755788,0.6462737477673589,0.1657586322714625,0.2076641777781618,3.193090495213877,6.2042610686315145,5.136810831800622,1.0,0.0,0.0,0.01687519384861482,0.0006219148635864258,0.0037110209465026633,0.004107578526120773,,,0.01911453415900034,0.7219430145370044,0.5308721967072799
coarse,1,4.302235481047713,0.2629059619755788,0.6462737477673589,0.1657586322714625,0.2076641777781618,3.193090495213877,6.2042610686315145,5.136810831800622,1.0,0.0,0.0,0.0151579046136,0.021603047847747803,0.023836612701416036,0.005541835313619013,,,0.01912065290548031,0.6046241364989007,0.5826089224195874
coarse,7,5.627794351309641,0.2629059619755788,0.6462737477673589,0.1657586322714625,0.28034664000051845,3.193090495213877,6.2042610686315145,5.136810831800622,1.0,0.0,0.0,0.015240643321586901,0.021603047847747803,0.023836612701416036,0.005463705220981739,,,0.019164326567148574,0.5925921692299161,0.5760407548202481
coarse,4,5.627794351309641,0.3429059619755788,0.6462737477673589,0.1657586322714625,0.2076641777781618,3.193090495213877,6.7042610686315145,5.136810831800622,1.0,0.0,0.0,0.015241106447043401,0.021603047847747803,0.023836612701416036,0.005596603157081494,,,0.01923123866065495,0.5922009821167372,0.575719028934482
coarse,5,5.627794351309641,0.2629059619755788,0.48470531082551915,0.1657586322714625,0.2076641777781618,3.193090495213877,6.2042610686315145,5.136810831800622,1.0,0.0,0.0,0.015334940637906117,0.021603047847747803,0.023836612701416036,0.005518296587919562,,,0.019285919566936698,0.5990171212100045,0.570439245106533
coarse,2,6.953353221571568,0.2629059619755788,0.6462737477673589,0.1657586322714625,0.2076641777781618,3.193090495213877,6.2042610686315145,5.136810831800622,1.0,0.0,0.0,0.015327872493026121,0.021603047847747803,0.023836612701416036,0.005555672812738874,,,0.01929753953446636,0.5869631390818365,0.5692290924042906
coarse,8,5.627794351309641,0.2629059619755788,0.6462737477673589,0.1657586322714625,0.2076641777781618,3.693090495213877,5.604261068631515,5.536810831800622,1.0,0.0,0.0,0.0153435770132146,0.021603047847747803,0.023836612701416036,0.005667778994762046,,,0.019369297145666427,0.587500809681119,0.5678850895802073
coarse,0,5.627794351309641,0.2629059619755788,0.6462737477673589,0.1657586322714625,0.2076641777781618,3.193090495213877,6.2042610686315145,5.136810831800622,1.0,0.0,0.0,0.015254550431810086,0.021603047847747803,0.023836612701416036,0.0059566942826077595,,,0.01942472820818477,0.5918893871867593,0.5748818731029217
coarse,13,1.0,0.5,0.6462737477673589,0.1657586322714625,0.2076641777781618,3.193090495213877,6.2042610686315145,5.136810831800622,0.25,0.0,0.0,0.01712732604063747,0.0006219148635864258,0.011016201972961426,0.0037539300024598144,,,0.01955510114051545,0.7008747942986596,0.5048263800121878
coarse,12,12.0,0.2629059619755788,0.6462737477673589,0.1657586322714625,0.2076641777781618,3.193090495213877,6.2042610686315145,5.136810831800622,1.0,0.0,0.0,0.0154926976181448,0.021603047847747803,0.017227065563201926,0.006415109524488214,,,0.019561605658549003,0.5758464819196619,0.5567746031237643
coarse,16,12.0,0.2629059619755788,0.6462737477673589,0.1657586322714625,0.2076641777781618,3.193090495213877,6.2042610686315145,5.136810831800622,12.0,0.0,0.0,0.015511328428353682,0.021603047847747803,0.017227065563201926,0.008028961582416958,,,0.020387162497722256,0.5833857244645627,0.5561057185464718
coarse,9,0.25,0.2629059619755788,0.6462737477673589,0.1657586322714625,0.2076641777781618,3.193090495213877,6.2042610686315145,5.136810831800622,1.0,0.0,0.0,0.025778491053659373,0.0006219148635864258,0.0074715852737426095,0.0038717208177899607,,,0.028087930726241484,0.6399520584105018,0.2383118502578853
