# metric_direction: higher_is_better
iteration	timestamp	commit	metric	delta	guard	guard-metric	status	description
0	2026-08-21T21:54Z	e98852ae3b	18.9570	0.0	pass	drops=0.0,loss=11.8044	baseline	ragged_all_to_all at the PR head, synthetic data, window 5-15
-	2026-08-21T22:04Z	5430b1c9f0	22.3126	3.3556	pass	drops=7.4e-6,loss=11.8044	reference	fixed_pooled_wave_all_to_all, same protocol -- the line to beat
1	2026-08-21T22:19Z	2241e3c569	21.3156	2.3586	pass	drops=0.0,loss=11.8044	keep	splits_per_peer 32 -- the loop baseline re-established at the value the PR now ships
2	2026-08-21T22:44Z	ee5dc311b5	21.0650	-0.2506	pass	drops=0.0,loss=11.8044	discard	command buffers at FUSION scope on the ragged posture
-	2026-08-21T22:59Z	754426bb65	-	-	n/a	no measurement	crash	r01/r02 restore arms: permanent checkpoint does not exist yet, rolling temporary is not reproducible
3	2026-08-21T23:25Z	e487cae9b8	21.2584	-0.0572	pass	drops=0.0,loss=11.8044	discard	collective overlap limit 2 on the ragged posture -- no effect, reverted
4	2026-08-21T23:58Z	-	21.2429	-	pass	drops=0.0,loss=11.8044	no-op	profiled ragged/pooled twins (21.24/22.34): transport kernel is cheaper than pooled a2a; gap = symmetric-kernel collectives (+0.43 s/step) + exposure (~0.7 s/step)
5	2026-08-22T00:15Z	863eca154c	21.2362	-0.0794	pass	drops=0.0,loss=11.8044	discard	NCCL_ALGO=Ring -- null; the extra reduce-scatter time is 3 RS instructions per layer in the ragged graph, not symmetric-kernel algo choice
6	2026-08-22T00:25Z	266e696369	-	-	n/a	no measurement	crash	LHS + overlap 4: NCCL alltoall CUDA OOM on first step -- overlap-4 collective buffers exceed the pool
6b	2026-08-22T00:32Z	04ba1e6d1b	-	-	n/a	no measurement	crash	LHS + overlap 1: same NCCL alltoall CUDA OOM -- the blowup is LHS itself under the 0.75/85 memory posture
6c	2026-08-22T00:40Z	178b638043	-	-	n/a	no measurement	crash	LHS + fraction 0.70 slop 80: same NCCL alltoall OOM; LHS lever closed as dead under this memory architecture (3 crashes)
7	2026-08-22T01:00Z	980e35a7f4	21.1828	-0.1328	pass	drops=0.0,loss=11.8044	discard	NCCL_SYM_CTAS=32 -- slightly negative; NCCL-collectives thread closed (algo force, LHS, CTA budget all measured)
8	2026-08-22T01:15Z	-	21.2848	-0.0308	pass	drops=0.0,loss=11.8044	discard	memory slop 87 -- null; 85 leaves no measurable remat on the table
9	2026-08-22T01:30Z	-	21.3201	0.0045	pass	drops=0.0,loss=11.8044	discard	splits 48 -- exact tie with 32; transport grid saturated, keep 32
10	2026-08-22T01:45Z	-	21.2584	-0.0572	pass	drops=0.0,loss=11.8044	discard	splits 24 -- noise-level below 32; bracket 24/32/48 flat, 32 confirmed
