continuation_id,role,fit_budget,source,concentration,bucket,phase_1_count,phase_1_weight,phase_1_materialized_epochs,historical_phase_1_bucket_epoch_cap,historical_total_bucket_epoch_cap
fit_wave1_extension_00,wave1_extension_stratified_maximin,True,dirichlet,500.0,dolma3_arxiv,9,0.00439453125,0.19870732981061962,8.191919978715855,27.953842953981127
fit_wave1_extension_00,wave1_extension_stratified_maximin,True,dirichlet,500.0,dolma3_cc/art_and_design_high,34,0.0166015625,0.18566281829466835,1.7464690588686655,8.086179032045354
fit_wave1_extension_00,wave1_extension_stratified_maximin,True,dirichlet,500.0,dolma3_cc/art_and_design_low,15,0.00732421875,0.20180429020436458,4.33472773227391,14.1945850326734
fit_wave1_extension_00,wave1_extension_stratified_maximin,True,dirichlet,500.0,dolma3_cc/crime_and_law_high,53,0.02587890625,0.21501670090602915,1.8641689185407184,5.7031512182726285
fit_wave1_extension_00,wave1_extension_stratified_maximin,True,dirichlet,500.0,dolma3_cc/crime_and_law_low,10,0.0048828125,0.09031310974843874,3.233630017403927,10.242841081068676
fit_wave1_extension_00,wave1_extension_stratified_maximin,True,dirichlet,500.0,dolma3_cc/education_and_jobs_high,73,0.03564453125,0.1811326155050371,0.7128192461873092,4.532161203685466
fit_wave1_extension_00,wave1_extension_stratified_maximin,True,dirichlet,500.0,dolma3_cc/education_and_jobs_low,41,0.02001953125,0.2076912540400011,2.752006254127114,6.411329770360684
fit_wave1_extension_00,wave1_extension_stratified_maximin,True,dirichlet,500.0,dolma3_cc/electronics_and_hardware_high,52,0.025390625,0.24453950969903443,1.1775030872507881,5.261217930594374
fit_wave1_extension_00,wave1_extension_stratified_maximin,True,dirichlet,500.0,dolma3_cc/electronics_and_hardware_low,11,0.00537109375,0.11005436097249394,2.5572692537793955,9.48159517050724
fit_wave1_extension_00,wave1_extension_stratified_maximin,True,dirichlet,500.0,dolma3_cc/entertainment_high,121,0.05908203125,0.17816411401349333,0.5722384864397412,2.932529010266612
fit_wave1_extension_00,wave1_extension_stratified_maximin,True,dirichlet,500.0,dolma3_cc/entertainment_low,51,0.02490234375,0.20635172689042383,1.5319940124119213,7.406276377870158
fit_wave1_extension_00,wave1_extension_stratified_maximin,True,dirichlet,500.0,dolma3_cc/finance_and_business_high,164,0.080078125,0.18796303429867575,0.3117838104347911,1.768739380142504
fit_wave1_extension_00,wave1_extension_stratified_maximin,True,dirichlet,500.0,dolma3_cc/finance_and_business_low,67,0.03271484375,0.1611566049300596,0.9523976870420865,2.5511794688992504
fit_wave1_extension_00,wave1_extension_stratified_maximin,True,dirichlet,500.0,dolma3_cc/food_and_dining_high,59,0.02880859375,0.21530922472508435,1.9578153350016174,3.616706220985414
fit_wave1_extension_00,wave1_extension_stratified_maximin,True,dirichlet,500.0,dolma3_cc/food_and_dining_low,13,0.00634765625,0.09638219800510313,2.185383375609119,8.65095163254229
fit_wave1_extension_00,wave1_extension_stratified_maximin,True,dirichlet,500.0,dolma3_cc/games_high,66,0.0322265625,0.18211455479758956,0.8176807938748492,4.276774771043717
fit_wave1_extension_00,wave1_extension_stratified_maximin,True,dirichlet,500.0,dolma3_cc/games_low,30,0.0146484375,0.22079224620325213,2.0851489808841954,11.171025996870545
fit_wave1_extension_00,wave1_extension_stratified_maximin,True,dirichlet,500.0,dolma3_cc/health_high,132,0.064453125,0.18898004229887203,0.5007123062420487,1.4929275856518842
fit_wave1_extension_00,wave1_extension_stratified_maximin,True,dirichlet,500.0,dolma3_cc/health_low,53,0.02587890625,0.17803420985056742,1.2553488934225714,4.69944929616892
fit_wave1_extension_00,wave1_extension_stratified_maximin,True,dirichlet,500.0,dolma3_cc/history_and_geography_high,33,0.01611328125,0.15227183705400998,1.5344196788573083,7.454541478448181
fit_wave1_extension_00,wave1_extension_stratified_maximin,True,dirichlet,500.0,dolma3_cc/history_and_geography_low,6,0.0029296875,0.10060398858916178,5.8294805539541,18.195508643021267
fit_wave1_extension_00,wave1_extension_stratified_maximin,True,dirichlet,500.0,dolma3_cc/industrial_high,20,0.009765625,0.15266967464087924,2.8763861032801508,8.722271461529425
fit_wave1_extension_00,wave1_extension_stratified_maximin,True,dirichlet,500.0,dolma3_cc/industrial_low,10,0.0048828125,0.1441721226038194,5.298904130910751,21.831337345011402
