sts_prefix,bucket,owners,reasons,sources,artifact_kinds,priority_max,normalized_glob
gs://marin-us-central1/DL3DV/,marin-us-central1,Julian,DL3DV - popular camera-conditioned video dataset,named.csv:18,,0,gs://marin-us-central1/DL3DV/**
gs://marin-us-central1/analysis/,marin-us-central1,Rohith,Logprobs from SFT experiments,named.csv:1751,,0,gs://marin-us-central1/analysis/**
gs://marin-us-central1/cdx/,marin-us-central1,Michael,CommonCrawl CDX index queries for code/math/medical domains (slow to rebuild),named.csv:51,,0,gs://marin-us-central1/cdx/**
gs://marin-us-central1/checkpoints/isoflop/,marin-us-central1,Will,Scaling Law ISOFlop Checkpoints,named.csv:3,,0,gs://marin-us-central1/checkpoints/isoflop/**
gs://marin-us-central1/checkpoints/qwen3-0.6b-rephraser-mid-sft-v1-d39527/hf/step-9398/,marin-us-central1,Michael,Qwen3 0.6B trained on rephraser-extracted data to measure downstream quality (final step only),named.csv:42,,0,gs://marin-us-central1/checkpoints/qwen3-0.6b-rephraser-mid-sft-v1-d39527/hf/step-9398/**
gs://marin-us-central1/checkpoints/qwen3-0.6b-rephraser-sft-v6-5a8b19/hf/step-1318/,marin-us-central1,Michael,Fine-tuned Qwen3 0.6B text extraction model (final step only),named.csv:39,,0,gs://marin-us-central1/checkpoints/qwen3-0.6b-rephraser-sft-v6-5a8b19/hf/step-1318/**
gs://marin-us-central1/checkpoints/qwen3-1.7b-rephraser-mid-sft-v1-bab2de/hf/step-9398/,marin-us-central1,Michael,Qwen3 1.7B trained on rephraser-extracted data to measure downstream quality (final step only),named.csv:41,,0,gs://marin-us-central1/checkpoints/qwen3-1.7b-rephraser-mid-sft-v1-bab2de/hf/step-9398/**
gs://marin-us-central1/checkpoints/qwen3-1.7b-rephraser-sft-v4-4c525e/hf/step-1318/,marin-us-central1,Michael,Fine-tuned Qwen3 1.7B text extraction model (final step only),named.csv:38,,0,gs://marin-us-central1/checkpoints/qwen3-1.7b-rephraser-sft-v4-4c525e/hf/step-1318/**
gs://marin-us-central1/checkpoints/qwen3-4b-thinking-rephraser-sft-32k-v5-e17272/hf/step-750/,marin-us-central1,Michael,Fine-tuned Qwen3 4B text extraction model (final step only),named.csv:37,,0,gs://marin-us-central1/checkpoints/qwen3-4b-thinking-rephraser-sft-32k-v5-e17272/hf/step-750/**
gs://marin-us-central1/checkpoints/qwen3-8b-rephraser-mid-sft-v1-5a71ec/hf/step-1250/,marin-us-central1,Michael,Qwen3 8B trained on rephraser-extracted data to measure downstream quality (final step only),named.csv:40,,0,gs://marin-us-central1/checkpoints/qwen3-8b-rephraser-mid-sft-v1-5a71ec/hf/step-1250/**
gs://marin-us-central1/checkpoints/qwen3-8b-rephraser-sft-v4-193d7b/hf/step-1318/,marin-us-central1,Michael,Fine-tuned Qwen3 8B model that extracts clean text from HTML (final step only),named.csv:36,,0,gs://marin-us-central1/checkpoints/qwen3-8b-rephraser-sft-v4-193d7b/hf/step-1318/**
gs://marin-us-central1/cooldown-dclm-100m-v2-32bcbc/,marin-us-central1,Michael,Cooldown run using raw DCLM web text (baseline comparison),named.csv:46,,0,gs://marin-us-central1/cooldown-dclm-100m-v2-32bcbc/**
gs://marin-us-central1/cooldown-dclm-filtered-v1-54cdb7/,marin-us-central1,Michael,Cooldown run using DCLM-filtered web text (baseline comparison),named.csv:45,,0,gs://marin-us-central1/cooldown-dclm-filtered-v1-54cdb7/**
gs://marin-us-central1/cooldown-rephraser-d7d976d3-150warc-v2-f8aa0b/,marin-us-central1,Michael,Cooldown run mixing rephraser-extracted web text into continued pretraining,named.csv:44,,0,gs://marin-us-central1/cooldown-rephraser-d7d976d3-150warc-v2-f8aa0b/**
gs://marin-us-central1/dmlab/,marin-us-central1,Julian,Small DeepMind Lab video navigation dataset,named.csv:16,,0,gs://marin-us-central1/dmlab/**
gs://marin-us-central1/documents/math_reasoning_scaling/,marin-us-central1,Rohith,Evals for a bunch of models,named.csv:1750,,0,gs://marin-us-central1/documents/math_reasoning_scaling/**
